test,302,187
error,292,239
list,256,219
im,210,155
code,181,163
function,166,139
get,139,119
iterator,139,108
autograder,134,119
json,134,90
use,123,101
sure,122,108
functions,112,94
getting,106,97
case,104,71
tests,102,81
know,99,90
dont,94,88
node,93,73
cases,90,72
private,82,67
file,81,69
one,79,67
request,77,62
tried,76,68
first,75,65
need,74,68
also,73,69
student,72,60
however,72,70
like,71,64
confused,70,68
listh,69,66
last,68,57
trying,68,63
line,68,58
queue,67,59
class,67,60
apicpp,66,59
help,66,63
wrong,65,63
using,65,58
read,64,48
output,63,51
memory,62,48
delete,61,52
says,61,57
still,60,59
try,59,54
run,59,49
new,59,38
since,58,54
something,58,54
object,58,45
check,57,48
hi,55,55
right,55,50
return,55,48
someone,54,54
end,54,47
ive,54,46
make,53,49
supposed,53,48
errors,52,48
type,51,41
cin,51,37
operator,50,46
fix,50,48
way,49,42
thanks,49,49
member,49,37
issue,48,46
work,47,46
constructor,47,39
compile,47,39
thank,46,46
anyone,46,45
see,45,41
uniqname,45,41
correct,45,43
reading,44,35
copy,44,32
public,43,38
problem,43,39
insert,42,33
pass,42,18
loop,41,33
empty,41,35
cant,40,39
project,39,35
leak,39,34
think,38,34
create,38,29
hello,38,38
two,38,32
working,37,34
erase,37,33
iterators,36,31
add,36,32
submitted,36,31
keep,36,36
lines,36,28
got,35,33
doesnt,35,35
pointer,35,28
spec,34,34
variable,34,29
go,33,32
points,33,28
implementation,33,30
even,32,30
point,32,28
different,32,26
post,32,25
content,32,24
cout,31,26
value,31,27
following,31,31
nullptr,31,30
mean,31,30
look,30,30
write,30,28
method,30,25
implemented,30,28
input,30,27
length,30,19
implement,30,27
set,30,26
fault,30,24
bad,30,23
example,30,29
wondering,29,29
position,29,23
running,29,29
requests,29,25
api,28,28
null,28,26
datum,28,21
back,27,22
used,27,24
really,27,23
time,27,26
else,27,25
push_back,27,25
access,27,24
figure,26,26
anything,26,26
correctly,26,24
destructor,26,21
element,26,19
body,26,23
fine,25,24
debugger,25,24
change,25,21
seems,25,25
whats,24,24
understand,24,21
might,24,24
size,24,17
made,23,23
testing,23,23
checked,23,20
created,23,23
string,23,18
going,23,23
cannot,23,21
files,23,20
call,23,19
segmentation,23,18
please,22,22
submission,22,20
everything,22,21
next,22,19
bit,22,21
didnt,22,21
list_testscpp,22,18
works,22,21
every,22,21
find,22,20
part,21,20
able,21,19
want,21,20
saying,21,20
print,21,16
means,21,21
int,21,18
isnt,21,20
struct,21,18
writing,20,20
location,20,16
terminal,20,20
within,20,18
lists,20,14
response,20,19
take,19,19
sanitizer,19,17
seem,19,19
data,19,16
clear,19,13
exit,19,17
push_front,19,18
appreciated,19,19
start,19,18
copy_all,19,16
bugs,18,17
missing,18,18
assignment,18,14
caen,18,17
main,18,18
contentlength,18,15
array,18,12
gives,18,16
valid,18,15
default,18,14
ohqueue,18,14
front,18,15
put,17,16
always,17,16
specific,17,17
pointing,17,13
big,17,12
give,17,17
reference,17,15
path,17,15
const,17,14
said,17,16
listint,17,13
implementing,17,17
given,16,15
begin,16,13
arent,16,15
may,16,15
reason,16,15
statement,16,13
similar,16,12
allowed,16,16
making,16,16
status,16,14
exactly,16,16
giving,16,14
include,16,15
explain,16,16
specs,16,13
server,16,15
issues,15,15
instead,15,15
submit,15,13
though,15,15
resolved,15,15
debug,15,15
vs,15,11
compiler,15,15
address,15,12
currently,15,15
well,15,15
question,15,15
partner,15,12
program,15,13
without,15,13
undefined,15,11
causing,15,14
variables,15,14
thing,14,13
added,14,13
idea,14,14
say,14,11
hours,14,13
templating,14,13
due,14,13
number,14,13
assume,14,13
included,14,14
creating,14,14
runs,14,14
push,14,13
node_ptr,14,14
whether,14,14
statements,14,11
wonder,14,12
whenever,14,14
looked,13,13
little,13,13
